項次,西元年,民國年,性別,年齡,預期壽命
1,2024,113,總計,0歲,81.1
2,2024,113,男性,0歲,77.78
3,2024,113,女性,0歲,84.42
4,2024,113,總計,1歲,80.43
5,2024,113,男性,1歲,77.12
6,2024,113,女性,1歲,83.73
7,2024,113,總計,2歲,79.45
8,2024,113,男性,2歲,76.15
9,2024,113,女性,2歲,82.75
10,2024,113,總計,3歲,78.47
11,2024,113,男性,3歲,75.16
12,2024,113,女性,3歲,81.76
13,2024,113,總計,4歲,77.48
14,2024,113,男性,4歲,74.17
15,2024,113,女性,4歲,80.78
16,2024,113,總計,5歲,76.49
17,2024,113,男性,5歲,73.18
18,2024,113,女性,5歲,79.79
19,2024,113,總計,6歲,75.49
20,2024,113,男性,6歲,72.19
21,2024,113,女性,6歲,78.79
22,2024,113,總計,7歲,74.5
23,2024,113,男性,7歲,71.2
24,2024,113,女性,7歲,77.8
25,2024,113,總計,8歲,73.51
26,2024,113,男性,8歲,70.21
27,2024,113,女性,8歲,76.81
28,2024,113,總計,9歲,72.51
29,2024,113,男性,9歲,69.21
30,2024,113,女性,9歲,75.81
31,2024,113,總計,10歲,71.52
32,2024,113,男性,10歲,68.22
33,2024,113,女性,10歲,74.82
34,2024,113,總計,11歲,70.53
35,2024,113,男性,11歲,67.22
36,2024,113,女性,11歲,73.82
37,2024,113,總計,12歲,69.53
38,2024,113,男性,12歲,66.23
39,2024,113,女性,12歲,72.83
40,2024,113,總計,13歲,68.54
41,2024,113,男性,13歲,65.24
42,2024,113,女性,13歲,71.84
43,2024,113,總計,14歲,67.55
44,2024,113,男性,14歲,64.25
45,2024,113,女性,14歲,70.85
46,2024,113,總計,15歲,66.56
47,2024,113,男性,15歲,63.26
48,2024,113,女性,15歲,69.86
49,2024,113,總計,16歲,65.58
50,2024,113,男性,16歲,62.28
51,2024,113,女性,16歲,68.87
52,2024,113,總計,17歲,64.6
53,2024,113,男性,17歲,61.31
54,2024,113,女性,17歲,67.88
55,2024,113,總計,18歲,63.62
56,2024,113,男性,18歲,60.33
57,2024,113,女性,18歲,66.9
58,2024,113,總計,19歲,62.64
59,2024,113,男性,19歲,59.37
60,2024,113,女性,19歲,65.91
61,2024,113,總計,20歲,61.67
62,2024,113,男性,20歲,58.4
63,2024,113,女性,20歲,64.93
64,2024,113,總計,21歲,60.7
65,2024,113,男性,21歲,57.44
66,2024,113,女性,21歲,63.95
67,2024,113,總計,22歲,59.72
68,2024,113,男性,22歲,56.47
69,2024,113,女性,22歲,62.97
70,2024,113,總計,23歲,58.75
71,2024,113,男性,23歲,55.51
72,2024,113,女性,23歲,61.99
73,2024,113,總計,24歲,57.78
74,2024,113,男性,24歲,54.54
75,2024,113,女性,24歲,61.01
76,2024,113,總計,25歲,56.81
77,2024,113,男性,25歲,53.57
78,2024,113,女性,25歲,60.03
79,2024,113,總計,26歲,55.83
80,2024,113,男性,26歲,52.61
81,2024,113,女性,26歲,59.05
82,2024,113,總計,27歲,54.86
83,2024,113,男性,27歲,51.64
84,2024,113,女性,27歲,58.07
85,2024,113,總計,28歲,53.89
86,2024,113,男性,28歲,50.67
87,2024,113,女性,28歲,57.09
88,2024,113,總計,29歲,52.91
89,2024,113,男性,29歲,49.71
90,2024,113,女性,29歲,56.11
91,2024,113,總計,30歲,51.94
92,2024,113,男性,30歲,48.74
93,2024,113,女性,30歲,55.13
94,2024,113,總計,31歲,50.97
95,2024,113,男性,31歲,47.78
96,2024,113,女性,31歲,54.15
97,2024,113,總計,32歲,50
98,2024,113,男性,32歲,46.82
99,2024,113,女性,32歲,53.17
100,2024,113,總計,33歲,49.04
101,2024,113,男性,33歲,45.86
102,2024,113,女性,33歲,52.19
103,2024,113,總計,34歲,48.07
104,2024,113,男性,34歲,44.91
105,2024,113,女性,34歲,51.22
106,2024,113,總計,35歲,47.11
107,2024,113,男性,35歲,43.95
108,2024,113,女性,35歲,50.24
109,2024,113,總計,36歲,46.15
110,2024,113,男性,36歲,43.01
111,2024,113,女性,36歲,49.27
112,2024,113,總計,37歲,45.2
113,2024,113,男性,37歲,42.06
114,2024,113,女性,37歲,48.3
115,2024,113,總計,38歲,44.24
116,2024,113,男性,38歲,41.13
117,2024,113,女性,38歲,47.33
118,2024,113,總計,39歲,43.3
119,2024,113,男性,39歲,40.19
120,2024,113,女性,39歲,46.36
121,2024,113,總計,40歲,42.35
122,2024,113,男性,40歲,39.27
123,2024,113,女性,40歲,45.4
124,2024,113,總計,41歲,41.41
125,2024,113,男性,41歲,38.35
126,2024,113,女性,41歲,44.44
127,2024,113,總計,42歲,40.48
128,2024,113,男性,42歲,37.43
129,2024,113,女性,42歲,43.48
130,2024,113,總計,43歲,39.55
131,2024,113,男性,43歲,36.53
132,2024,113,女性,43歲,42.52
133,2024,113,總計,44歲,38.63
134,2024,113,男性,44歲,35.63
135,2024,113,女性,44歲,41.57
136,2024,113,總計,45歲,37.71
137,2024,113,男性,45歲,34.74
138,2024,113,女性,45歲,40.62
139,2024,113,總計,46歲,36.8
140,2024,113,男性,46歲,33.86
141,2024,113,女性,46歲,39.67
142,2024,113,總計,47歲,35.9
143,2024,113,男性,47歲,32.99
144,2024,113,女性,47歲,38.73
145,2024,113,總計,48歲,35
146,2024,113,男性,48歲,32.13
147,2024,113,女性,48歲,37.79
148,2024,113,總計,49歲,34.1
149,2024,113,男性,49歲,31.27
150,2024,113,女性,49歲,36.86
151,2024,113,總計,50歲,33.22
152,2024,113,男性,50歲,30.42
153,2024,113,女性,50歲,35.93
154,2024,113,總計,51歲,32.34
155,2024,113,男性,51歲,29.58
156,2024,113,女性,51歲,35
157,2024,113,總計,52歲,31.46
158,2024,113,男性,52歲,28.75
159,2024,113,女性,52歲,34.08
160,2024,113,總計,53歲,30.6
161,2024,113,男性,53歲,27.92
162,2024,113,女性,53歲,33.16
163,2024,113,總計,54歲,29.74
164,2024,113,男性,54歲,27.1
165,2024,113,女性,54歲,32.25
166,2024,113,總計,55歲,28.88
167,2024,113,男性,55歲,26.29
168,2024,113,女性,55歲,31.34
169,2024,113,總計,56歲,28.03
170,2024,113,男性,56歲,25.49
171,2024,113,女性,56歲,30.43
172,2024,113,總計,57歲,27.18
173,2024,113,男性,57歲,24.69
174,2024,113,女性,57歲,29.52
175,2024,113,總計,58歲,26.34
176,2024,113,男性,58歲,23.91
177,2024,113,女性,58歲,28.62
178,2024,113,總計,59歲,25.51
179,2024,113,男性,59歲,23.12
180,2024,113,女性,59歲,27.73
181,2024,113,總計,60歲,24.68
182,2024,113,男性,60歲,22.35
183,2024,113,女性,60歲,26.84
184,2024,113,總計,61歲,23.86
185,2024,113,男性,61歲,21.58
186,2024,113,女性,61歲,25.95
187,2024,113,總計,62歲,23.04
188,2024,113,男性,62歲,20.81
189,2024,113,女性,62歲,25.07
190,2024,113,總計,63歲,22.22
191,2024,113,男性,63歲,20.06
192,2024,113,女性,63歲,24.19
193,2024,113,總計,64歲,21.42
194,2024,113,男性,64歲,19.31
195,2024,113,女性,64歲,23.32
196,2024,113,總計,65歲,20.62
197,2024,113,男性,65歲,18.56
198,2024,113,女性,65歲,22.46
199,2024,113,總計,66歲,19.83
200,2024,113,男性,66歲,17.83
201,2024,113,女性,66歲,21.6
202,2024,113,總計,67歲,19.05
203,2024,113,男性,67歲,17.11
204,2024,113,女性,67歲,20.76
205,2024,113,總計,68歲,18.28
206,2024,113,男性,68歲,16.4
207,2024,113,女性,68歲,19.92
208,2024,113,總計,69歲,17.53
209,2024,113,男性,69歲,15.71
210,2024,113,女性,69歲,19.1
211,2024,113,總計,70歲,16.78
212,2024,113,男性,70歲,15.02
213,2024,113,女性,70歲,18.29
214,2024,113,總計,71歲,16.06
215,2024,113,男性,71歲,14.36
216,2024,113,女性,71歲,17.49
217,2024,113,總計,72歲,15.35
218,2024,113,男性,72歲,13.71
219,2024,113,女性,72歲,16.71
220,2024,113,總計,73歲,14.65
221,2024,113,男性,73歲,13.07
222,2024,113,女性,73歲,15.94
223,2024,113,總計,74歲,13.97
224,2024,113,男性,74歲,12.46
225,2024,113,女性,74歲,15.2
226,2024,113,總計,75歲,13.31
227,2024,113,男性,75歲,11.86
228,2024,113,女性,75歲,14.46
229,2024,113,總計,76歲,12.66
230,2024,113,男性,76歲,11.28
231,2024,113,女性,76歲,13.75
232,2024,113,總計,77歲,12.04
233,2024,113,男性,77歲,10.72
234,2024,113,女性,77歲,13.05
235,2024,113,總計,78歲,11.43
236,2024,113,男性,78歲,10.18
237,2024,113,女性,78歲,12.38
238,2024,113,總計,79歲,10.84
239,2024,113,男性,79歲,9.66
240,2024,113,女性,79歲,11.72
241,2024,113,總計,80歲,10.27
242,2024,113,男性,80歲,9.16
243,2024,113,女性,80歲,11.08
244,2024,113,總計,81歲,9.72
245,2024,113,男性,81歲,8.67
246,2024,113,女性,81歲,10.46
247,2024,113,總計,82歲,9.19
248,2024,113,男性,82歲,8.21
249,2024,113,女性,82歲,9.87
250,2024,113,總計,83歲,8.68
251,2024,113,男性,83歲,7.76
252,2024,113,女性,83歲,9.31
253,2024,113,總計,84歲,8.2
254,2024,113,男性,84歲,7.33
255,2024,113,女性,84歲,8.77
256,2024,113,總計,85歲,7.72
257,2024,113,男性,85歲,6.93
258,2024,113,女性,85歲,8.24
259,2024,113,總計,86歲,7.27
260,2024,113,男性,86歲,6.54
261,2024,113,女性,86歲,7.73
262,2024,113,總計,87歲,6.84
263,2024,113,男性,87歲,6.17
264,2024,113,女性,87歲,7.26
265,2024,113,總計,88歲,6.43
266,2024,113,男性,88歲,5.82
267,2024,113,女性,88歲,6.8
268,2024,113,總計,89歲,6.04
269,2024,113,男性,89歲,5.48
270,2024,113,女性,89歲,6.37
271,2024,113,總計,90歲,5.67
272,2024,113,男性,90歲,5.16
273,2024,113,女性,90歲,5.95
274,2024,113,總計,91歲,5.32
275,2024,113,男性,91歲,4.86
276,2024,113,女性,91歲,5.57
277,2024,113,總計,92歲,4.99
278,2024,113,男性,92歲,4.58
279,2024,113,女性,92歲,5.2
280,2024,113,總計,93歲,4.67
281,2024,113,男性,93歲,4.31
282,2024,113,女性,93歲,4.85
283,2024,113,總計,94歲,4.38
284,2024,113,男性,94歲,4.06
285,2024,113,女性,94歲,4.53
286,2024,113,總計,95歲,4.1
287,2024,113,男性,95歲,3.82
288,2024,113,女性,95歲,4.22
289,2024,113,總計,96歲,3.84
290,2024,113,男性,96歲,3.6
291,2024,113,女性,96歲,3.94
292,2024,113,總計,97歲,3.59
293,2024,113,男性,97歲,3.4
294,2024,113,女性,97歲,3.67
295,2024,113,總計,98歲,3.36
296,2024,113,男性,98歲,3.2
297,2024,113,女性,98歲,3.43
298,2024,113,總計,99歲,3.14
299,2024,113,男性,99歲,3.01
300,2024,113,女性,99歲,3.19
301,2024,113,總計,100歲及以上,2.56
302,2024,113,男性,100歲及以上,2.51
303,2024,113,女性,100歲及以上,2.58
304,2025,114,總計,0歲,81.49
305,2025,114,男性,0歲,78.22
306,2025,114,女性,0歲,84.76
307,2025,114,總計,1歲,80.8
308,2025,114,男性,1歲,77.54
309,2025,114,女性,1歲,84.06
310,2025,114,總計,2歲,79.82
311,2025,114,男性,2歲,76.56
312,2025,114,女性,2歲,83.08
313,2025,114,總計,3歲,78.84
314,2025,114,男性,3歲,75.58
315,2025,114,女性,3歲,82.09
316,2025,114,總計,4歲,77.85
317,2025,114,男性,4歲,74.59
318,2025,114,女性,4歲,81.1
319,2025,114,總計,5歲,76.86
320,2025,114,男性,5歲,73.6
321,2025,114,女性,5歲,80.11
322,2025,114,總計,6歲,75.86
323,2025,114,男性,6歲,72.61
324,2025,114,女性,6歲,79.12
325,2025,114,總計,7歲,74.87
326,2025,114,男性,7歲,71.61
327,2025,114,女性,7歲,78.13
328,2025,114,總計,8歲,73.88
329,2025,114,男性,8歲,70.62
330,2025,114,女性,8歲,77.13
331,2025,114,總計,9歲,72.88
332,2025,114,男性,9歲,69.63
333,2025,114,女性,9歲,76.14
334,2025,114,總計,10歲,71.89
335,2025,114,男性,10歲,68.63
336,2025,114,女性,10歲,75.14
337,2025,114,總計,11歲,70.89
338,2025,114,男性,11歲,67.64
339,2025,114,女性,11歲,74.15
340,2025,114,總計,12歲,69.9
341,2025,114,男性,12歲,66.64
342,2025,114,女性,12歲,73.16
343,2025,114,總計,13歲,68.91
344,2025,114,男性,13歲,65.65
345,2025,114,女性,13歲,72.16
346,2025,114,總計,14歲,67.92
347,2025,114,男性,14歲,64.66
348,2025,114,女性,14歲,71.17
349,2025,114,總計,15歲,66.93
350,2025,114,男性,15歲,63.67
351,2025,114,女性,15歲,70.18
352,2025,114,總計,16歲,65.94
353,2025,114,男性,16歲,62.69
354,2025,114,女性,16歲,69.19
355,2025,114,總計,17歲,64.96
356,2025,114,男性,17歲,61.72
357,2025,114,女性,17歲,68.21
358,2025,114,總計,18歲,63.98
359,2025,114,男性,18歲,60.74
360,2025,114,女性,18歲,67.22
361,2025,114,總計,19歲,63.01
362,2025,114,男性,19歲,59.77
363,2025,114,女性,19歲,66.23
364,2025,114,總計,20歲,62.03
365,2025,114,男性,20歲,58.81
366,2025,114,女性,20歲,65.25
367,2025,114,總計,21歲,61.06
368,2025,114,男性,21歲,57.84
369,2025,114,女性,21歲,64.27
370,2025,114,總計,22歲,60.08
371,2025,114,男性,22歲,56.87
372,2025,114,女性,22歲,63.28
373,2025,114,總計,23歲,59.11
374,2025,114,男性,23歲,55.91
375,2025,114,女性,23歲,62.3
376,2025,114,總計,24歲,58.14
377,2025,114,男性,24歲,54.94
378,2025,114,女性,24歲,61.32
379,2025,114,總計,25歲,57.16
380,2025,114,男性,25歲,53.97
381,2025,114,女性,25歲,60.34
382,2025,114,總計,26歲,56.19
383,2025,114,男性,26歲,53
384,2025,114,女性,26歲,59.36
385,2025,114,總計,27歲,55.21
386,2025,114,男性,27歲,52.03
387,2025,114,女性,27歲,58.37
388,2025,114,總計,28歲,54.24
389,2025,114,男性,28歲,51.06
390,2025,114,女性,28歲,57.39
391,2025,114,總計,29歲,53.26
392,2025,114,男性,29歲,50.1
393,2025,114,女性,29歲,56.41
394,2025,114,總計,30歲,52.29
395,2025,114,男性,30歲,49.13
396,2025,114,女性,30歲,55.43
397,2025,114,總計,31歲,51.32
398,2025,114,男性,31歲,48.16
399,2025,114,女性,31歲,54.45
400,2025,114,總計,32歲,50.35
401,2025,114,男性,32歲,47.2
402,2025,114,女性,32歲,53.48
403,2025,114,總計,33歲,49.38
404,2025,114,男性,33歲,46.24
405,2025,114,女性,33歲,52.5
406,2025,114,總計,34歲,48.42
407,2025,114,男性,34歲,45.29
408,2025,114,女性,34歲,51.52
409,2025,114,總計,35歲,47.45
410,2025,114,男性,35歲,44.34
411,2025,114,女性,35歲,50.55
412,2025,114,總計,36歲,46.49
413,2025,114,男性,36歲,43.39
414,2025,114,女性,36歲,49.58
415,2025,114,總計,37歲,45.54
416,2025,114,男性,37歲,42.44
417,2025,114,女性,37歲,48.61
418,2025,114,總計,38歲,44.58
419,2025,114,男性,38歲,41.5
420,2025,114,女性,38歲,47.64
421,2025,114,總計,39歲,43.64
422,2025,114,男性,39歲,40.57
423,2025,114,女性,39歲,46.67
424,2025,114,總計,40歲,42.69
425,2025,114,男性,40歲,39.64
426,2025,114,女性,40歲,45.7
427,2025,114,總計,41歲,41.75
428,2025,114,男性,41歲,38.72
429,2025,114,女性,41歲,44.74
430,2025,114,總計,42歲,40.81
431,2025,114,男性,42歲,37.8
432,2025,114,女性,42歲,43.78
433,2025,114,總計,43歲,39.88
434,2025,114,男性,43歲,36.9
435,2025,114,女性,43歲,42.83
436,2025,114,總計,44歲,38.96
437,2025,114,男性,44歲,36
438,2025,114,女性,44歲,41.87
439,2025,114,總計,45歲,38.04
440,2025,114,男性,45歲,35.1
441,2025,114,女性,45歲,40.92
442,2025,114,總計,46歲,37.13
443,2025,114,男性,46歲,34.22
444,2025,114,女性,46歲,39.97
445,2025,114,總計,47歲,36.22
446,2025,114,男性,47歲,33.34
447,2025,114,女性,47歲,39.03
448,2025,114,總計,48歲,35.32
449,2025,114,男性,48歲,32.47
450,2025,114,女性,48歲,38.09
451,2025,114,總計,49歲,34.42
452,2025,114,男性,49歲,31.61
453,2025,114,女性,49歲,37.15
454,2025,114,總計,50歲,33.53
455,2025,114,男性,50歲,30.76
456,2025,114,女性,50歲,36.22
457,2025,114,總計,51歲,32.65
458,2025,114,男性,51歲,29.91
459,2025,114,女性,51歲,35.29
460,2025,114,總計,52歲,31.77
461,2025,114,男性,52歲,29.08
462,2025,114,女性,52歲,34.36
463,2025,114,總計,53歲,30.9
464,2025,114,男性,53歲,28.25
465,2025,114,女性,53歲,33.44
466,2025,114,總計,54歲,30.03
467,2025,114,男性,54歲,27.43
468,2025,114,女性,54歲,32.53
469,2025,114,總計,55歲,29.17
470,2025,114,男性,55歲,26.61
471,2025,114,女性,55歲,31.61
472,2025,114,總計,56歲,28.32
473,2025,114,男性,56歲,25.8
474,2025,114,女性,56歲,30.7
475,2025,114,總計,57歲,27.46
476,2025,114,男性,57歲,25
477,2025,114,女性,57歲,29.79
478,2025,114,總計,58歲,26.62
479,2025,114,男性,58歲,24.2
480,2025,114,女性,58歲,28.89
481,2025,114,總計,59歲,25.78
482,2025,114,男性,59歲,23.41
483,2025,114,女性,59歲,27.99
484,2025,114,總計,60歲,24.94
485,2025,114,男性,60歲,22.63
486,2025,114,女性,60歲,27.09
487,2025,114,總計,61歲,24.11
488,2025,114,男性,61歲,21.85
489,2025,114,女性,61歲,26.2
490,2025,114,總計,62歲,23.29
491,2025,114,男性,62歲,21.08
492,2025,114,女性,62歲,25.31
493,2025,114,總計,63歲,22.47
494,2025,114,男性,63歲,20.31
495,2025,114,女性,63歲,24.43
496,2025,114,總計,64歲,21.66
497,2025,114,男性,64歲,19.55
498,2025,114,女性,64歲,23.56
499,2025,114,總計,65歲,20.85
500,2025,114,男性,65歲,18.8
501,2025,114,女性,65歲,22.69
502,2025,114,總計,66歲,20.06
503,2025,114,男性,66歲,18.06
504,2025,114,女性,66歲,21.83
505,2025,114,總計,67歲,19.27
506,2025,114,男性,67歲,17.33
507,2025,114,女性,67歲,20.98
508,2025,114,總計,68歲,18.5
509,2025,114,男性,68歲,16.62
510,2025,114,女性,68歲,20.14
511,2025,114,總計,69歲,17.73
512,2025,114,男性,69歲,15.91
513,2025,114,女性,69歲,19.31
514,2025,114,總計,70歲,16.98
515,2025,114,男性,70歲,15.22
516,2025,114,女性,70歲,18.5
517,2025,114,總計,71歲,16.25
518,2025,114,男性,71歲,14.55
519,2025,114,女性,71歲,17.7
520,2025,114,總計,72歲,15.53
521,2025,114,男性,72歲,13.89
522,2025,114,女性,72歲,16.91
523,2025,114,總計,73歲,14.82
524,2025,114,男性,73歲,13.24
525,2025,114,女性,73歲,16.14
526,2025,114,總計,74歲,14.13
527,2025,114,男性,74歲,12.61
528,2025,114,女性,74歲,15.38
529,2025,114,總計,75歲,13.46
530,2025,114,男性,75歲,12.01
531,2025,114,女性,75歲,14.64
532,2025,114,總計,76歲,12.81
533,2025,114,男性,76歲,11.42
534,2025,114,女性,76歲,13.91
535,2025,114,總計,77歲,12.17
536,2025,114,男性,77歲,10.84
537,2025,114,女性,77歲,13.21
538,2025,114,總計,78歲,11.55
539,2025,114,男性,78歲,10.29
540,2025,114,女性,78歲,12.52
541,2025,114,總計,79歲,10.95
542,2025,114,男性,79歲,9.76
543,2025,114,女性,79歲,11.85
544,2025,114,總計,80歲,10.37
545,2025,114,男性,80歲,9.25
546,2025,114,女性,80歲,11.19
547,2025,114,總計,81歲,9.81
548,2025,114,男性,81歲,8.75
549,2025,114,女性,81歲,10.57
550,2025,114,總計,82歲,9.27
551,2025,114,男性,82歲,8.28
552,2025,114,女性,82歲,9.96
553,2025,114,總計,83歲,8.75
554,2025,114,男性,83歲,7.83
555,2025,114,女性,83歲,9.38
556,2025,114,總計,84歲,8.25
557,2025,114,男性,84歲,7.39
558,2025,114,女性,84歲,8.83
559,2025,114,總計,85歲,7.77
560,2025,114,男性,85歲,6.98
561,2025,114,女性,85歲,8.29
562,2025,114,總計,86歲,7.32
563,2025,114,男性,86歲,6.59
564,2025,114,女性,86歲,7.79
565,2025,114,總計,87歲,6.89
566,2025,114,男性,87歲,6.21
567,2025,114,女性,87歲,7.31
568,2025,114,總計,88歲,6.48
569,2025,114,男性,88歲,5.86
570,2025,114,女性,88歲,6.85
571,2025,114,總計,89歲,6.09
572,2025,114,男性,89歲,5.52
573,2025,114,女性,89歲,6.42
574,2025,114,總計,90歲,5.72
575,2025,114,男性,90歲,5.2
576,2025,114,女性,90歲,6
577,2025,114,總計,91歲,5.36
578,2025,114,男性,91歲,4.9
579,2025,114,女性,91歲,5.61
580,2025,114,總計,92歲,5.03
581,2025,114,男性,92歲,4.62
582,2025,114,女性,92歲,5.24
583,2025,114,總計,93歲,4.71
584,2025,114,男性,93歲,4.35
585,2025,114,女性,93歲,4.9
586,2025,114,總計,94歲,4.41
587,2025,114,男性,94歲,4.09
588,2025,114,女性,94歲,4.57
589,2025,114,總計,95歲,4.13
590,2025,114,男性,95歲,3.86
591,2025,114,女性,95歲,4.26
592,2025,114,總計,96歲,3.87
593,2025,114,男性,96歲,3.63
594,2025,114,女性,96歲,3.98
595,2025,114,總計,97歲,3.62
596,2025,114,男性,97歲,3.42
597,2025,114,女性,97歲,3.71
598,2025,114,總計,98歲,3.39
599,2025,114,男性,98歲,3.22
600,2025,114,女性,98歲,3.46
601,2025,114,總計,99歲,3.17
602,2025,114,男性,99歲,3.04
603,2025,114,女性,99歲,3.23
604,2025,114,總計,100歲及以上,2.59
605,2025,114,男性,100歲及以上,2.53
606,2025,114,女性,100歲及以上,2.61
607,2026,115,總計,0歲,81.89
608,2026,115,男性,0歲,78.67
609,2026,115,女性,0歲,85.11
610,2026,115,總計,1歲,81.18
611,2026,115,男性,1歲,77.97
612,2026,115,女性,1歲,84.4
613,2026,115,總計,2歲,80.2
614,2026,115,男性,2歲,76.99
615,2026,115,女性,2歲,83.42
616,2026,115,總計,3歲,79.22
617,2026,115,男性,3歲,76
618,2026,115,女性,3歲,82.43
619,2026,115,總計,4歲,78.23
620,2026,115,男性,4歲,75.01
621,2026,115,女性,4歲,81.44
622,2026,115,總計,5歲,77.23
623,2026,115,男性,5歲,74.02
624,2026,115,女性,5歲,80.45
625,2026,115,總計,6歲,76.24
626,2026,115,男性,6歲,73.03
627,2026,115,女性,6歲,79.45
628,2026,115,總計,7歲,75.25
629,2026,115,男性,7歲,72.03
630,2026,115,女性,7歲,78.46
631,2026,115,總計,8歲,74.25
632,2026,115,男性,8歲,71.04
633,2026,115,女性,8歲,77.47
634,2026,115,總計,9歲,73.26
635,2026,115,男性,9歲,70.05
636,2026,115,女性,9歲,76.47
637,2026,115,總計,10歲,72.27
638,2026,115,男性,10歲,69.05
639,2026,115,女性,10歲,75.48
640,2026,115,總計,11歲,71.27
641,2026,115,男性,11歲,68.06
642,2026,115,女性,11歲,74.48
643,2026,115,總計,12歲,70.28
644,2026,115,男性,12歲,67.06
645,2026,115,女性,12歲,73.49
646,2026,115,總計,13歲,69.29
647,2026,115,男性,13歲,66.07
648,2026,115,女性,13歲,72.5
649,2026,115,總計,14歲,68.29
650,2026,115,男性,14歲,65.08
651,2026,115,女性,14歲,71.5
652,2026,115,總計,15歲,67.31
653,2026,115,男性,15歲,64.09
654,2026,115,女性,15歲,70.51
655,2026,115,總計,16歲,66.32
656,2026,115,男性,16歲,63.11
657,2026,115,女性,16歲,69.52
658,2026,115,總計,17歲,65.34
659,2026,115,男性,17歲,62.13
660,2026,115,女性,17歲,68.53
661,2026,115,總計,18歲,64.36
662,2026,115,男性,18歲,61.16
663,2026,115,女性,18歲,67.55
664,2026,115,總計,19歲,63.38
665,2026,115,男性,19歲,60.19
666,2026,115,女性,19歲,66.56
667,2026,115,總計,20歲,62.4
668,2026,115,男性,20歲,59.22
669,2026,115,女性,20歲,65.58
670,2026,115,總計,21歲,61.43
671,2026,115,男性,21歲,58.25
672,2026,115,女性,21歲,64.59
673,2026,115,總計,22歲,60.45
674,2026,115,男性,22歲,57.29
675,2026,115,女性,22歲,63.61
676,2026,115,總計,23歲,59.47
677,2026,115,男性,23歲,56.32
678,2026,115,女性,23歲,62.62
679,2026,115,總計,24歲,58.5
680,2026,115,男性,24歲,55.35
681,2026,115,女性,24歲,61.64
682,2026,115,總計,25歲,57.52
683,2026,115,男性,25歲,54.38
684,2026,115,女性,25歲,60.65
685,2026,115,總計,26歲,56.55
686,2026,115,男性,26歲,53.41
687,2026,115,女性,26歲,59.67
688,2026,115,總計,27歲,55.57
689,2026,115,男性,27歲,52.44
690,2026,115,女性,27歲,58.69
691,2026,115,總計,28歲,54.59
692,2026,115,男性,28歲,51.47
693,2026,115,女性,28歲,57.71
694,2026,115,總計,29歲,53.62
695,2026,115,男性,29歲,50.5
696,2026,115,女性,29歲,56.72
697,2026,115,總計,30歲,52.64
698,2026,115,男性,30歲,49.53
699,2026,115,女性,30歲,55.74
700,2026,115,總計,31歲,51.67
701,2026,115,男性,31歲,48.56
702,2026,115,女性,31歲,54.76
703,2026,115,總計,32歲,50.7
704,2026,115,男性,32歲,47.6
705,2026,115,女性,32歲,53.79
706,2026,115,總計,33歲,49.73
707,2026,115,男性,33歲,46.64
708,2026,115,女性,33歲,52.81
709,2026,115,總計,34歲,48.77
710,2026,115,男性,34歲,45.68
711,2026,115,女性,34歲,51.84
712,2026,115,總計,35歲,47.8
713,2026,115,男性,35歲,44.72
714,2026,115,女性,35歲,50.86
715,2026,115,總計,36歲,46.84
716,2026,115,男性,36歲,43.77
717,2026,115,女性,36歲,49.89
718,2026,115,總計,37歲,45.89
719,2026,115,男性,37歲,42.83
720,2026,115,女性,37歲,48.92
721,2026,115,總計,38歲,44.93
722,2026,115,男性,38歲,41.89
723,2026,115,女性,38歲,47.95
724,2026,115,總計,39歲,43.98
725,2026,115,男性,39歲,40.95
726,2026,115,女性,39歲,46.98
727,2026,115,總計,40歲,43.04
728,2026,115,男性,40歲,40.02
729,2026,115,女性,40歲,46.02
730,2026,115,總計,41歲,42.09
731,2026,115,男性,41歲,39.1
732,2026,115,女性,41歲,45.06
733,2026,115,總計,42歲,41.16
734,2026,115,男性,42歲,38.18
735,2026,115,女性,42歲,44.09
736,2026,115,總計,43歲,40.23
737,2026,115,男性,43歲,37.27
738,2026,115,女性,43歲,43.14
739,2026,115,總計,44歲,39.3
740,2026,115,男性,44歲,36.37
741,2026,115,女性,44歲,42.18
742,2026,115,總計,45歲,38.38
743,2026,115,男性,45歲,35.47
744,2026,115,女性,45歲,41.23
745,2026,115,總計,46歲,37.46
746,2026,115,男性,46歲,34.59
747,2026,115,女性,46歲,40.28
748,2026,115,總計,47歲,36.55
749,2026,115,男性,47歲,33.7
750,2026,115,女性,47歲,39.33
751,2026,115,總計,48歲,35.64
752,2026,115,男性,48歲,32.83
753,2026,115,女性,48歲,38.39
754,2026,115,總計,49歲,34.74
755,2026,115,男性,49歲,31.96
756,2026,115,女性,49歲,37.45
757,2026,115,總計,50歲,33.85
758,2026,115,男性,50歲,31.11
759,2026,115,女性,50歲,36.52
760,2026,115,總計,51歲,32.96
761,2026,115,男性,51歲,30.26
762,2026,115,女性,51歲,35.58
763,2026,115,總計,52歲,32.08
764,2026,115,男性,52歲,29.42
765,2026,115,女性,52歲,34.66
766,2026,115,總計,53歲,31.21
767,2026,115,男性,53歲,28.58
768,2026,115,女性,53歲,33.73
769,2026,115,總計,54歲,30.34
770,2026,115,男性,54歲,27.76
771,2026,115,女性,54歲,32.81
772,2026,115,總計,55歲,29.47
773,2026,115,男性,55歲,26.94
774,2026,115,女性,55歲,31.89
775,2026,115,總計,56歲,28.61
776,2026,115,男性,56歲,26.12
